,Location,Year,Longitude,Latitude,Count
0,1 Avenue and 11a Street NE,2018.0,-114.035044349223,51.053235762179604,1
1,1 Avenue at Penworth Drive SE,2018.0,-113.94969837136499,51.0523465024536,1
2,1 Street and 10 Avenue SW,2018.0,-114.06566159704799,51.0433951810899,1
3,1 Street and 12 Avenue SE,2018.0,-114.060865354694,51.0413575562084,1
4,1 Street and 15 Avenue SE,2018.0,-114.061071524225,51.0385191175696,1
5,1 Street and 153 Avenue SE,2018.0,-114.064921131433,50.9155890857364,1
6,1 Street and 6 Avenue SW,2018.0,-114.065348984349,51.04753036384461,1
7,1 Street and 7 Avenue SE,2018.0,-114.060500946098,51.0464447669676,1
8,1 Street and 7 Avenue SW,2018.0,-114.065411802023,51.046565460912106,1
9,1 Street and 9 Avenue SE,2018.0,-114.06063693607,51.044540760961894,2
10,1 Street and 9 Avenue SW,2018.0,-114.06556986445801,51.0446804950509,2
11,1 Street at 12 Avenue SE,2018.0,-114.060865354694,51.0413575562084,1
12,1 Street at 12 Avenue SW,2018.0,-114.065782257064,51.04149513215421,1
13,1 Street at 7 Avenue SE,2018.0,-114.060500946098,51.0464447669676,1
14,10 Avenue and 1 Street SW,2018.0,-114.06566159704799,51.0433951810899,2
15,10 Avenue and 10 Street SW,2018.0,-114.08631389531999,51.043974717124605,1
16,10 Avenue and 11 Street SW,2018.0,-114.088783075723,51.044045414744396,1
17,10 Avenue and 13 Street SW,2018.0,-114.09369364393801,51.0441831697808,2
18,10 Avenue and 14 Street SW,2018.0,-114.09476137911699,51.044209817566994,1
19,10 Avenue and 3 Street SE,2018.0,-114.055817427263,51.0431111870191,1
20,10 Avenue and 4 Street SW,2018.0,-114.071511958878,51.0435574288027,2
21,10 Avenue and 5 Street SW,2018.0,-114.074011900801,51.04363075698,1
22,10 Avenue and 9 Street SW,2018.0,-114.08384957592399,51.0439067506729,1
23,10 Avenue and Centre Street NW,2018.0,-114.063161113972,51.0433242816234,1
24,10 Avenue at 19 Street SW,2018.0,-114.106557378685,51.044344213474396,1
25,10 Avenue at 8 Street SW,2018.0,-114.081389682339,51.043837560515605,1
26,10 Street and 11 Avenue  SW,2018.0,-114.08638115341999,51.0430271491479,1
27,10 Street and 4 Avenue SW,2018.0,-114.083712092352,51.050149768258,1
28,10 Street and 5 Avenue SW,2018.0,-114.085962051674,51.04903862300161,1
29,10 Street and 7 Avenue SW,2018.0,-114.08609193550801,51.047169292858804,1
30,10 Street and 8 Avenue SW,2018.0,-114.08616184941299,51.04618783228211,1
31,10 Street and Drury Avenue NE,2018.0,-114.037684844649,51.057909143885006,1
32,10 Street and Kensington Road NW,2018.0,-114.085879601761,51.052500447225704,1
33,10 Street and Memorial Drive NW,2018.0,-114.08586034759199,51.0519609880605,2
34,100 Avenue and 15 Street NE,2018.0,-114.024910292817,51.143524565091106,1
35,100 Avenue and 19 Street NE,2018.0,-114.01376551908999,51.143374393278805,2
36,100 Avenue at 22 Street NE,2018.0,-114.007867480151,51.1433703545479,1
37,100 Street and 17 Avenue SE,2018.0,-113.888660267348,51.0378379245475,1
38,104 Avenue and 19 Street NE,2018.0,-114.01353918214501,51.14690498703529,1
39,104 Avenue and Braeside Drive SW,2018.0,-114.10333465719201,50.9595597872117,1
40,104 Avenue at Metis Trail NE,2018.0,-113.97091779871599,51.147269019836905,1
41,106 Avenue and 42 Street SE,2018.0,-113.97407698050101,50.957897961332705,1
42,106 Avenue and 48 Street SE,2018.0,-113.96525542968,50.9579102339536,2
43,106 Avenue and 50 Street SE,2018.0,-113.961601179784,50.957844362736395,1
44,106 Avenue and 52 Street SE,2018.0,-113.958958206103,50.9578460710203,1
45,106 Avenue and 68 Street SE,2018.0,-113.93519695068899,50.962438835109,1
46,106 Avenue and Barlow Trail SE,2018.0,-113.980379953407,50.957895504296104,1
47,106 Avenue at 52 Street SE,2018.0,-113.958958206103,50.9578460710203,1
48,106 Avenue at Barlow Trail SE,2018.0,-113.98153118648001,50.957934348432204,1
49,107 Avenue at 24 Street SE,2018.0,-114.001135701708,50.956596852054005,2
50,10a Street and 17 Avenue SW,2018.0,-114.088540896472,51.0378164270141,1
51,11 Avenue and 1 Street SE,2018.0,-114.060796719801,51.042302773045996,1
52,11 Avenue and 1 Street SW,2018.0,-114.06572815405,51.042461199895705,1
53,11 Avenue and 11 Street SW,2018.0,-114.088842581545,51.043097042161996,2
54,11 Avenue and 12 Avenue SE,2018.0,-114.10885437826401,51.0436390992706,1
55,11 Avenue and 12 Street SE,2018.0,-114.035872473494,51.039758016829005,1
56,11 Avenue and 14 Street SW,2018.0,-114.094755744287,51.0432651805564,3
57,11 Avenue and 18 Street SW,2018.0,-114.104153745779,51.0435070083504,1
58,11 Avenue and 27 Street SE,2018.0,-113.99553104151899,51.0428679528053,1
59,11 Avenue and 3 Street SE,2018.0,-114.055884593593,51.0421639063171,1
60,11 Avenue and 44 Street SE,2018.0,-113.969999173787,51.043236542711,1
61,11 Avenue and 5 Street SW,2018.0,-114.074079004088,51.0426973100721,1
62,11 Avenue and 6 Street SW,2018.0,-114.07652927324,51.0427671997787,1
63,11 Avenue and 7 Street SW,2018.0,-114.079004076044,51.042836482152204,1
64,11 Avenue and 73 Street SW,2018.0,-114.19353280186,51.054257192391006,1
65,11 Avenue and 8 Street SW,2018.0,-114.081462741725,51.0428882832815,4
66,11 Avenue and Olympic Wy SE,2018.0,-114.053401583892,51.0420887443155,1
67,11 Avenue at 14 Street NW,2018.0,-114.094764320371,51.06228428142429,1
68,11 Street and 12 Avenue SW,2018.0,-114.088917198818,51.04214784882179,1
69,11 Street and 15 Avenue SW,2018.0,-114.089116236931,51.039308107580794,1
70,11 Street and 18 Avenue SE,2018.0,-114.036769622348,51.037013079512796,1
71,11 Street and 26 Avenue SE,2018.0,-114.037243814177,51.0305625137823,1
72,11 Street and 57 Avenue NE,2018.0,-114.03640923667,51.106196692241404,1
73,11 Street and 58 Avenue SE,2018.0,-114.037283866809,51.0017616807051,1
74,11 Street and 6 Avenue SW,2018.0,-114.088506730089,51.048172541131294,1
75,11 Street and 70 Avenue SE,2018.0,-114.03992678457399,50.9909894888422,1
76,11 Street and 9 Avenue SW,2018.0,-114.088706384967,51.0453306455415,2
77,11 Street and Heritage Drive SE,2018.0,-114.03973817273199,50.987130223582895,1
78,11 Street and Heritage Meadows Wy SE,2018.0,-114.04229934390867,50.9840485411925,3
79,11 Street and Kensington Road NW,2018.0,-114.088770724714,51.052505479057,1
80,11 Street approaching Heritage Meadows Way SE,2018.0,-114.042393172684,50.9839672991501,1
81,11 Street at  59 Avenue SE,2018.0,-114.037244882437,50.9995153215014,1
82,11 Street at 59 Avenue SE,2018.0,-114.037244882437,50.9995153215014,1
